date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2/13/20 18:25,acslaw,,0,0,0,"ACS has formed a #MeToo Task Force to combat sexual harassment and sexual assault issues in the legal profession, holding listening sessions around the country. We are making plans to facilitate others speaking up. Stay tuned. 2/2",,,#MeToo #MeToo,1.23E+18,https://twitter.com/acslaw/status/1228022483695132674
2/13/20 18:25,HealingFrTrauma,,0,0,0,"Hey all, you know adult ADHD maybe a result of child trauma and the ability to toggle between thoughts simultaneously is a model being explored by AI. How do I know - check my bio #MeToo",,,#MeToo #MeToo,1.23E+18,https://twitter.com/HealingFrTrauma/status/1228022315046207488
2/13/20 18:24,RvnsNest,,0,0,0,"From 1996 to 1997, four women filed sexual-harassment or discrimination suits against Bloomberg the company. Mike Bloomberg's history asks complicated questions about the intersection of politics and morality in the age of #MeToo, writes @megangarber",,@megangarber,#MeToo #MeToo,1.23E+18,https://twitter.com/RvnsNest/status/1228022249497800704
2/13/20 18:23,film_pasco,brujasdelmar,0,0,0,#UNAM #FeminicidioEmergenciaNacional #Feminicidios #MeToo ,,,#UNAM #FeminicidioEmergenciaNacional #Feminicidios #MeToo #MeToo,1.23E+18,https://twitter.com/film_pasco/status/1228021935436685313
2/13/20 18:22,bernieshinder,davidaxelrod,0,0,0,We reacted (or didn_Ñét react at all) to negative political advertising by condoning it. This is where it ends. We need a trump #metoo movement. A national asswipe.,,,#metoo #metoo,1.23E+18,https://twitter.com/bernieshinder/status/1228021686911602696
2/13/20 18:22,MediaCheck2016,Med4Pete,0,0,0,I_Ñéd do her is now a #metoo thing? How about _ÑÒI_Ñéd do him?_Ñù,,,#metoo #metoo,1.23E+18,https://twitter.com/MediaCheck2016/status/1228021636328235010
2/13/20 18:20,aimeliz318,,0,0,1,"@Donnarotunno is lawyer goals! Damn, she is so smooth. A ballsy woman who will not be intimidated; especially by the #MeToo mob. #HarveyWeinstein",,@Donnarotunno,#MeToo #MeToo #HarveyWeinstein,1.23E+18,https://twitter.com/aimeliz318/status/1228021178528358400
2/13/20 18:19,bestdayever1616,,1,1,0,Uh-Oh. Bloomie might want to reconsider things....#METOO here we come https://www.theatlantic.com/entertainment/archive/2018/09/mike-bloomberg-comments-women-metoo/570448/,,,#METOO #METOO,1.23E+18,https://twitter.com/bestdayever1616/status/1228020981878448128
2/13/20 18:19,MediaCheck2016,jonathanchait,0,0,0,Hmmmmmm. Let me guess how many of us liberal guys AND women have said _ÑÒI_Ñéd do her (or him)_Ñù. Let_Ñés see... there are about ten hot actresses Id do tomorrow if I could. #MeToo This is where me too is f_Ñéd up. Stop taking away my right to love women. I_Ñéd do her.,,,#MeToo #MeToo,1.23E+18,https://twitter.com/MediaCheck2016/status/1228020955055902726
2/13/20 18:19,corydlg,,0,0,0,"Which is fine, I_Ñém sure she has her reasons. It_Ñés my job as a man to respect the wishes of everyone around me as long as it isn_Ñét hurting anyone. It_Ñés not hard guys. #DontBeLastAugust #consentisntcomplicated #ihopisntadonedeal #metoo",,,#DontBeLastAugust #consentisntcomplicated #ihopisntadonedeal #metoo #metoo,1.23E+18,https://twitter.com/corydlg/status/1228020788273582081
2/13/20 18:18,sex_abuse_news,,0,0,0,Bishop prohibits priest from broadcasting opinion after criticizing sex abuse scandals http://www.bishop-accountability.org/AbuseTrackerArchive/2020/02/#165401 #metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/sex_abuse_news/status/1228020559092559873
2/13/20 18:18,VraiChevalier,kristenluvslife,0,0,0,#MeToo !!!,,,#MeToo #MeToo,1.23E+18,https://twitter.com/VraiChevalier/status/1228020548304809985
2/13/20 18:16,triangleinv,,0,0,0,Yoga Collides with #MeToo ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/triangleinv/status/1228020159543173126
