date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-13 23:44:06,BuffySlays,JohnParrMusic,0,0,0,"Thank you sir for adding such an amazing song to the soundtrack of my life! That song gives me chills to this day ",,,,1228102580502487041,https://twitter.com/BuffySlays/status/1228102580502487041
2020-02-13 23:43:40,BobAKABuffy,,0,0,0,"I unlocked $40 Rush tickets for @SpongeBobBway at @broadwaysf on @TodayTix!",,@SpongeBobBway @broadwaysf @TodayTix,,1228102470699638784,https://twitter.com/BobAKABuffy/status/1228102470699638784
2020-02-13 23:43:21,lampwireslayer,mhmelbourne,0,0,1,"Yes we don’t mind as she is doing what she enjoys but we would like a bit more time to meow with you all. Can I get you a drink? #nipclub",,,#nipclub,1228102391599419392,https://twitter.com/lampwireslayer/status/1228102391599419392
2020-02-13 23:42:37,buffym04,DaWgincatland,0,0,0,"Oh no",,,,1228102207444176896,https://twitter.com/buffym04/status/1228102207444176896
2020-02-13 23:42:37,buffym04,Dennis_BDTW,1,0,2,"Maybe the program is elitist or something",,,,1228102204273262593,https://twitter.com/buffym04/status/1228102204273262593
2020-02-13 23:42:37,TechnoBuffy,focused4USA,0,0,0,"I don't know anything but what I do know is he is about to be YANKED from his job because he can't stop himself.",,,,1228102203698708486,https://twitter.com/TechnoBuffy/status/1228102203698708486
2020-02-13 23:42:13,hxrgroves,,0,0,0,"when they killed angel off in buffy fans rioted so they brought him back",,,,1228102104633487360,https://twitter.com/hxrgroves/status/1228102104633487360
2020-02-13 23:41:36,Zendyro93,Buffy_Sketch,0,0,0,"Wtf xD Got one who said ""Hello cutie"".",,,,1228101949892984833,https://twitter.com/Zendyro93/status/1228101949892984833
2020-02-13 23:41:29,HarryFreeloader,Cory__1077,0,0,0,"Looks like Buffy was just playing with his new-found friends.",,,,1228101919794585601,https://twitter.com/HarryFreeloader/status/1228101919794585601
2020-02-13 23:41:18,MaxmitcheII,,0,0,1,"buffy the vampire slayer (2003) when buffy sliced that man in half balls first ",,,,1228101873317494790,https://twitter.com/MaxmitcheII/status/1228101873317494790
